facebook.com,31.13.93.35
youtube.com,172.217.2.14
baidu.com,123.125.114.144
blogspot.com,172.217.1.201
microsoft.com,40.112.72.205
qq.com,111.161.64.48
taobao.com,140.205.94.189
bing.com,13.107.21.200
sina.com.cn,202.108.33.60
soso.com,119.28.109.132
163.com,123.58.180.8
ask.com,151.101.70.114
adobe.com,193.104.215.58
twitter.com,104.244.42.193
mozilla.com,63.245.208.194
youku.com,106.11.186.1
sdjjdsaf.com,
msn.com,13.82.28.61
wmfo.org,23.92.21.128
wordpress.com,192.0.78.17
tudou.com,106.11.186.25
yahoo.co.jp,183.79.135.206
sohu.com,221.179.177.36
apple.com,17.178.96.59
hao123.com,180.149.132.3
windows.com,104.215.148.63
ebay.com,66.211.162.12
pps.tv,101.227.188.170
xunlei.com,182.118.18.100
andysayler.com,138.197.228.157
fc2.com,54.191.118.67
paypal.com,64.4.250.37
sogou.com,118.191.216.57
tmall.com,140.205.94.193
ku6.com,117.50.1.222
rakuten.co.jp,133.237.61.176
about.com,151.101.65.121
56.com,221.5.34.99
goo.ne.jp,153.254.147.65
bbc.co.uk,151.101.0.81
yandex.ru,5.255.255.77
myspace.com,63.135.90.70
mail.ru,217.69.139.202
cnet.com,64.30.228.118
go.com,23.236.60.174
4399.com,118.184.184.70
orkut.com,216.239.32.21
skype.com,40.115.34.155
ameblo.jp,23.2.169.104
orkut.com.br,
flickr.com,69.147.88.7
4shared.com,204.155.149.41
amazon.co.jp,52.119.161.5
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
imdb.com,52.94.237.74
aol.com,106.10.218.150
naver.com,125.209.222.142
craigslist.org,208.82.237.226
weather.com,23.207.48.225
soku.com,106.11.186.1
alibaba.com,205.204.101.42
megaupload.com,
renren.com,120.133.2.243
livedoor.jp,203.104.153.16
360.cn,101.198.193.22
vkontakte.ru,95.213.4.229
answers.com,151.101.64.203
rapidshare.com,0.0.0.0
daum.net,203.133.167.16
7k7k.com,101.200.128.82
2345.com,42.62.30.180
photobucket.com,209.17.68.100
mediafire.com,104.19.194.29
ehow.com,23.227.13.162
seesaa.net,143.204.31.12
alipay.com,110.75.139.5
blogger.com,172.217.12.9
nifty.com,222.158.213.148
imageshack.us,208.94.3.18
cnn.com,151.101.193.67
tianya.cn,124.225.65.154
mywebsearch.com,74.113.237.48
zynga.com,52.84.216.120
partypoker.com,195.72.134.116
hp.com,15.72.228.83
walmart.com,161.170.232.170
kugou.com,119.146.204.176
ebay.de,66.211.185.77
youdao.com,61.135.218.27
hotfile.com,18.207.9.28
qiyi.com,101.227.188.172
pconline.com.cn,219.136.245.40
odnoklassniki.ru,217.20.155.13
jp.msn.com,13.88.15.24
ifeng.com,123.103.122.24
hotmail.com,204.79.197.212
amazon.com,205.251.242.103
paipai.com,
live.com,204.79.197.212
wikipedia.org,208.80.153.224
softonic.com,35.190.12.174
yahoo.com,98.137.246.7
